rank,company,founded,employees,score,ceo,state,hq,industry
110,Cope Foundation,1957,"1,001 - 5,000",6.94,Sean Abbott,Cork,Bonnington,Health Care
111,Liebherr,1958,"501 - 1,000",6.93,David Griffin,Dublin,Dublin,"Engineering, Manufacturing"
112,Burger King,1981,>200,6.92,Alasdair Murdoch,Dublin,Dublin,Restaurants
113,Bam Contractors,1958,"1,001 - 5,000",6.92,Theo Cullinane,Kildare,Kill,Construction and related Services
114,Stryker,1941,"1,001 - 5,000",6.90,Kevin Lobo,Limerick,Limerick,Health Care
115,Designer Group,1992,"1,001 - 5,000",6.87,Michael Stone,Dublin,Dublin,Construction and related Services
116,Jacobs Engineering,1974,"1,001 - 5,000",6.86,Steve Demetriou,Dublin,Dublin,"Engineering, Manufacturing"
117,PFH Technology Group,1985,201 - 500,6.85,Paul Callaghan,Dublin,Dublin,"IT, Software and Services"
118,Capita Customer Solutions,1996,201 - 500,6.85,Ailish Hansen,Cork,Cork,"IT, Software and Services"
119,HPE (Hewlett-Packard Enterprise),2015,201 - 500,6.85,Antonio Neri,Kildare,Leixlip,"IT, Software and Services"
120,Flutter Entertainment,2016,>200,6.84,Peter Jackson,Dublin,Dublin,Travel and Leisure
121,Citibank,1965,"1,001 - 5,000",6.83,Cecilia Ronan,Dublin,Dublin,Banking and Financial Services
122,Saint John Of God Community Services Company,1960,"1,001 - 5,000",6.83,Conor McCarthy,Dublin,Dublin,Health Care
123,UPS (United Parcel Service),1995,"501 - 1,000",6.83,Carol Tomé,Dublin,Dublin,Transportation and Logistics
124,B&Q,1990,"501 - 1,000",6.83,Graham Bell,Dublin,Dublin,Retail
125,Topline,1975,>200,6.81,Hugh O'Donnell,Kildare,Naas,Retail
126,Version1 Software,1996,>200,6.81,Tom O'Connor,Dublin,Dublin,"IT, Software and Services"
127,JJ Rhatigan,1952,>200,6.81,Ger Ronayne,Galway,Galway,Construction and related Services
128,Brothers Of Charity Services,1883,"1,001 - 5,000",6.80,Michael Hennessy,Galway,Galway,Health Care
129,Mercury Engineering,1972,>200,6.79,Eoin Vaughan,Dublin,Dublin,"Engineering, Manufacturing"
130,South Infirmary - Victoria University Hospital,1988,"501 - 1,000",6.78,Helen Donovan,Cork,Cork,Health Care
131,Grafton Group,1902,>200,6.76,Gavin Slark,Dublin,Dublin,Construction and related Services
132,Allergan,1948,"1,001 - 5,000",6.75,Brenton Saunders,Dublin,Dublin,Drugs and Biotechnology
133,Oracle,1990,"501 - 1,000",6.74,Nicky Sheridan,Dublin,Dublin,"IT, Software and Services"
134,Avaya,2001,201 - 500,6.73,Steve Joyner,Galway,Mervue,"IT, Software and Services"
135,PJ Hegarty and Sons,1925,201 - 500,6.73,John Hegarty,Dublin,Dublin,Construction and related Services
136,Dalata Hotel Group,2007,"1,001 - 5,000",6.73,Dermot Crowley,Dublin,Dublin,Travel and Leisure
137,EY (Ernst & Young),1989,"1,001 - 5,000",6.70,Carmine Di Sibio,Dublin,Dublin,Consulting and Accounting
138,Merit Medical,1987,"501 - 1,000",6.70,Fred Lampropoulos,Galway,Galway,Health Care
139,DB Schenker,1872,201 - 500,6.70,Ray Hennessy,Dublin,Dublin,"Aviation, Leasing, and related Services"
140,GameStop,1994,201 - 500,6.69,Richard Fontaine,Dublin,Dublin,"Internet, Gaming, and eCommerce"
141,Takeda Pharmaceutical,1995,"501 - 1,000",6.69,Christophe Weber,Wicklow,Kilruddery,Drugs and Biotechnology
142,Health Service Executive,2005,"50,001 - 100,000",6.69,Paul Reid,Dublin,Dublin,Health Care
143,Hermitage Clinic,2004,"501 - 1,000",6.68,Gordon Dunne,Dublin,Dublin,Health Care
144,Spar,1963,"10,001 - 50,000",6.67,Malachy Hanberry,Dublin,Dublin,Retail
145,Subway,1993,"1,001 - 5,000",6.64,Chrsitopher Kan,Dublin,Dublin,Restaurants
146,Abtran,1997,"1,001 - 5,000",6.63,Aisling Deasy,Cork,Cork,"IT, Software and Services"
147,AIB Group (Allied Irish Bank),1966,"5,001 - 10,000",6.62,Alan Mahon,Dublin,Dublin,Banking and Financial Services
148,Brown Thomas Arnotts,1843,"1,001 - 5,000",6.60,Donald McDonald,Dublin,Dublin,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
149,Vodafone,2001,"1,001 - 5,000",6.60,Anne O'Leary,Dublin,Dublin,"Internet, Gaming, and eCommerce"
150,SuperValu,1992,"10,001 - 50,000",6.57,Mark Gross,Cork,Cork,Retail
