rank,company,founded,employees,score,ceo,state,hq,industry
129,Continental,1871,>1000,76.42,Nikolai Setzer,Germany,Hanover,Automotive (Automotive and Suppliers)
130,Xero,2006,>1000,76.36,Sukhinder Singh Cassidy,New Zealand,Wellington,"IT, Internet, Software & Services"
131,Nestle,1866,>1000,76.35,Mark Schneider,Switzerland,Vevey,"Food, Soft Beverages, Alcohol & Tobacco (including Agriculture Production)"
132,Deutsche Post DHL,1995,>1000,76.34,Tobias Meyer,Germany,Bonn,Transportation and Logistics
133,Walt Disney,1923,>1000,76.29,Bob Iger,United States,Burbank,Media & Advertising
134,KDDI,1953,>1000,76.28,Makoto Takahashi,Japan,Tokyo,Utilities
135,Amgen,1980,>1000,76.26,Robert A. Bradway,United States,Thousand Oaks,Drugs & Biotechnology
136,OSAKA GAS,1897,>1000,76.21,Masataka Fujiwara,Japan,Tokyo,"Construction, Oil & Gas Operations, Mining and Chemicals"
137,Larsen & Toubro,1946,>1000,76.19,S N Subrahmanyan,India,Mumbai,"Construction, Oil & Gas Operations, Mining and Chemicals"
138,AIA,1919,>1000,76.18,Lee Yuan Siong,Hong Kong,Hong Kong,Insurance
139,Chevron,1879,>1000,75.97,Michael K. Wirth,United States,San Ramon,"Construction, Oil & Gas Operations, Mining and Chemicals"
140,Johnson & Johnson,1886,>1000,75.92,Joaquin Duato,United States,New Brunswick,Drugs & Biotechnology
141,Far East Organization,1960,>1000,75.91,Phillip Ng,Singapore,Singapore,Conglomerate
142,Uchida Yoko,1910,>1000,75.9,Noboru Ohkubo,Japan,Tokyo,Business Services & Supplies
143,Applied Materials,1967,>1000,75.84,Gary Dickserson,United States,Santa Clara,"Engineering, Manufacturing"
144,Volvo,1927,>1000,75.79,Martin Lundstedt,Sweden,Goteborg,"Engineering, Manufacturing"
145,BCG (Boston Consulting Group),1963,>1000,75.47,Christoph Schweizer,United States,Boston,Professional Services
146,Hitachi,1910,>1000,75.4,Keiji Kojima,Japan,Tokyo,Conglomerate
147,Reckitt,2007,>1000,75.35,Kris Licht,United Kingdom,Slough,Packaged Goods
148,Amazon,1994,>1000,75.22,Andy Jassy,United States,Seattle,"IT, Internet, Software & Services"
149,Mitsui Fudosan,1941,>1000,75.09,Takashi Ueda,Japan,Tokyo,Professional Services
150,Zomato,2008,>1000,75.04,Deepinder Goyal,India,Gurgaon,"IT, Internet, Software & Services"
151,Public Bank Berhad,1966,>1000,75.04,Tan Sri Dato' Sri Dr. Tay Ah Lek,Malaysia,Kuala Lumpur,Banking and Financial Services
152,LOTTE,1967,>1000,74.9,Dong-Woo Lee,South Korea,Seoul,Conglomerate
153,Godrej,1897,>1000,74.78,Sudhir Sitapati,India,Mumbai,Conglomerate
154,Kuraray,1926,>1000,74.74,Hitoshi Kawahara,Japan,Tokyo,"Engineering, Manufacturing"
155,Allianz,1890,>1000,74.69,Oliver Bäte,Germany,Munich,Insurance
156,Unisys,1986,>1000,74.56,Peter Altabef,United States,United States,"IT, Internet, Software & Services"
157,MITSUI & CO,1947,>1000,74.56,Kenichi Hori,Japan,Tokyo,Retail and Wholesale
158,Barclays,1896,>1000,74.5,C.S. Venkatakrishnan,United Kingdom,London,Banking and Financial Services
159,Hakuhodo,1895,>1000,74.4,Masayuki Mizushima,Japan,Tokyo,Professional Services
160,ITO EN,1966,>1000,74.38,Daisuke Honjo,Japan,Shizuoka,"Food, Soft Beverages, Alcohol & Tobacco (including Agriculture Production)"
161,Thermo Fisher Scientific,1956,>1000,74.31,Marc N. Casper,United States,Waltham,Health Care Equipment & Services
162,Mitsui Chemicals,1997,>1000,74.14,Hashimoto Osamu,Japan,Tokyo,"Construction, Oil & Gas Operations, Mining and Chemicals"
163,CP Axtra,1988,>1000,74.07,Tanin Buranamanit,Thailand,Bangkok,Retail and Wholesale
164,Life Insurance Corporation of India,1956,>1000,73.92,Siddhartha Mohanty,India,Mumbai,Insurance
165,Oracle,1977,>1000,73.84,Safra Catz,United States,Austin,"IT, Internet, Software & Services"
