rank,company,founded,employees,score,ceo,state,hq,industry
125,HP,1991,"501 - 1,000",70.31,Andrzej Sowiński,Multiple Locations,Warszawa/Wrocław,"Electronics, Electrical Engineering, Computer Hardware"
126,Volvo,1994,"1,001 - 5,000",70.17,Emil Dembiński,Lower Silesia,Wrocław,Vehicle Construction and Sales
127,ABB,1988,"5,001 - 10,000",70.16,Tomasz Wolanowski,Mazovia,Warszawa,Construction of Machines and Installations
128,STRABAG,1987,"1,001 - 5,000",70.13,Thomas Birtel,Mazovia,Pruszków,Construction
129,Mostostal Warszawa,1945,"1,001 - 5,000",70.11,Miguel Angel Heras Llorente,Mazovia,Warszawa,Construction
130,Santander,2001,"10,001 - 50,000",70.09,Michał Gajewski,Mazovia,Warszawa,Banks and Financial Services
131,Rockwell Automation,1998,"1,001 - 5,000",70.07,Blake Moret,Mazovia,Warszawa,Construction of Machines and Installations
132,Brenntag,2002,>250,70.01,Jacek Iwańczuk,Opole,Kędzierzyn-Koźle,Wholesale
133,Pekabex,2009,"1,001 - 5,000",70.01,Robert Jędrzejowski,Greater Poland,Poznań,Construction
134,Uniwersytet Warmińsko-Mazurski w Olsztynie,1999,>250,70.00,Jerzy Andrzej Przyborowski,Warmia-Masuria,Olsztyn,Education and Research
135,Sperasoft,2004,201 - 500,69.97,Anna Trofimova,Lesser Poland,Kraków,"IT, Internet, Software"
136,STS,1997,"1,001 - 5,000",69.96,Mateusz Juroszek,Silesia,Katowice,"Restaurants, Tourism, Sports and Recreational Services"
137,Ardagh Group,1932,"501 - 1,000",69.93,Piotr Ignasiak,Greater Poland,Gostyń,Production and Processing of Raw and Building Materials
138,Apteka Gemini,1990,"1,001 - 5,000",69.91,Roman Pałac,Pomerania,Gdańsk,Pharmaceuticals and Biotechnology
139,Proseat,2002,"501 - 1,000",69.90,Stefan Hünermann,Silesia,Bielsko-Biała,Vehicle Construction and Sales
140,Grupa TAURON,2006,"10,001 - 50,000",69.88,Artur Michałowski,Silesia,Katowice,Energy and Communal Services
141,PwC,1990,"5,001 - 10,000",69.87,Adam Krasoń,Mazovia,Warszawa,Consulting
142,Capgemini,1996,"5,001 - 10,000",69.84,Aiman Ezzat,Mazovia,Warszawa,Consulting
143,Rimaster,1982,"501 - 1,000",69.82,Iwona Uszakiewicz,West Pomerania,Czaplinek,Vehicle Construction and Sales
144,Uniwersytet Jagielloński,1364,"5,001 - 10,000",69.65,Jacek Popiel,Lesser Poland,Kraków,Education and Research
145,citi handlowy,1870,"5,001 - 10,000",69.53,Elżbieta Światopełk-Czetwertyńska,Mazovia,Warszawa,Banks and Financial Services
146,Kazar,1996,"501 - 1,000",69.39,Artur Kazienko,Subcarpathia,Przemyśl,"Clothing, Accessories, Sports Equipment (Production and Trade)"
147,Crédit Agricole,1991,"1,001 - 5,000",69.39,Piotr Kwiatkowski,Lower Silesia,Wrocław,Banks and Financial Services
148,Deloitte,1990,"1,001 - 5,000",69.37,Tomasz Konik,Mazovia,Warszawa,Consulting
149,McKinsey & Company,1993,>250,69.34,Bob Sternfels,Multiple Locations,Multiple Locations,Consulting
150,Deutsche Bank,1995,201 - 500,69.30,Tomasz Kowalski,Mazovia,Warszawa,Banks and Financial Services
151,ArcelorMittal,2002,"5,001 - 10,000",69.26,Sanjay Samaddar,Silesia,Dąbrowa Górnicza,Production and Processing of Raw and Building Materials
152,Komputronik,1996,"501 - 1,000",69.21,Wojciech Buczkowski,Greater Poland,Poznań,Retail
153,GO Sport,2001,"501 - 1,000",69.20,Justyna Gościńska,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
154,Unilever,1991,"1,001 - 5,000",69.05,Jaime Aguilera,Mazovia,Warszawa,FMCG
155,Uniwersytet Mikołaja Kopernika w Toruniu,1945,"1,001 - 5,000",69.05,Andrzej Sokala,Kuyavia-Pomerania,Toruń,Education and Research
156,Alior Bank,2008,"5,001 - 10,000",69.02,Grzegorz Olszewski,Mazovia,Warszawa,Banks and Financial Services
157,CMC,1996,"1,001 - 5,000",69.02,Jerzy Kozicz,Silesia,Zawiercie,Production and Processing of Raw and Building Materials
158,TUI,1997,201 - 500,69.00,Marcin Dymnicki,Mazovia,Warszawa,"Restaurants, Tourism, Sports and Recreational Services"
159,BetaMed,2001,"1,001 - 5,000",68.93,Beata Drzazga,Silesia,Chorzów,Healthcare and Social
160,International Paper,1992,201 - 500,68.89,Tomasz Brodecki,Multiple Locations,Gdańsk/Kraków,Production and Processing of Raw and Building Materials
161,Media Expert,2002,"10,001 - 50,000",68.86,Marek Piotr Grzebita,Greater Poland,Złotów,Retail
162,Arla,2005,>250,68.83,Peder Tuborgh,West Pomerania,Tychowo,FMCG
163,Grupa Raben,1991,"1,001 - 5,000",68.81,Ewald Raben,Greater Poland,Robakowo,Transportation and Logistics
164,BNY Mellon,2010,"1,001 - 5,000",68.72,Ewa Carr-de Avelon,Lower Silesia,Wrocław,Banks and Financial Services
165,Cukiernia Sowa,1946,"501 - 1,000",68.70,Adam Sowa,Kuyavia-Pomerania,Bydgoszcz,FMCG
166,Fabryka Mebli BODZIO,1985,"1,001 - 5,000",68.70,Bogdan Szewczyk,Lower Silesia,Goszcz,Durable Consumer Goods
167,Bayer,1994,"501 - 1,000",68.66,Werner Baumann,Mazovia,Warszawa,Pharmaceuticals and Biotechnology
168,TK Maxx,1994,>250,68.55,Ernie Herrman,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
169,Alstom,1997,"1,001 - 5,000",68.50,Sławomir Nalewajka,Multiple Locations,Multiple Locations,Vehicle Construction and Sales
170,Onninen,1913,>250,68.44,Wiktor Kępiński,Mazovia,Warszawa,Wholesale
