rank,company,founded,employees,score,ceo,state,hq,industry
113,Marriott Hotels,1927,"100,001 - 500,000",78.42,Anthony Capuano,Ontario,Mississauga,Travel & Leisure
114,Bank of Canada,1935,"1,001 - 5,000",78.32,Tiff Macklem,Ontario,Ottawa,Banking and Financial Services
115,CISSS de Laval,2015,"10,001 - 50,000",78.29,Isaac Israel,Quebec,Laval,Healthcare & Social
116,CarePartners,1984,"1,001 - 5,000",78.27,Linda Knight,Ontario,Kitchener,Healthcare & Social
117,Toronto Transit Commission,1921,"10,001 - 50,000",78.11,Rick Leary,Ontario,Toronto,Transportation and Logistics
118,Suncor Energy,1967,"10,001 - 50,000",78.10,Mark Little,Alberta,Calgary,"Construction, Oil & Gas Operations, Mining and Chemicals"
119,London District Catholic School Board,1999,"1,001 - 5,000",78.09,Vince Romeo,Ontario,London,Education
120,Compass Group,1941,"10,001 - 50,000",78.05,Dominic Blakemore,Ontario,Mississauga,Business Services & Supplies
121,Canadian National Railway,1832,"10,001 - 50,000",78.04,Jean-Jacques Ruest,Quebec,Montreal,Transportation and Logistics
122,Wendy’s,1969,"10,001 - 50,000",77.87,Todd A. Penegor,Ontario,Oakville,Restaurants
123,RE/MAX,1973,"10,001 - 50,000",77.82,Adam Contos,Ontario,Mississauga,Business Services & Supplies
124,H&M,1947,"1,001 - 5,000",77.82,Helena Helmersson,Ontario,Toronto,Clothing  (Manufacturing and Retail)
125,Concordia University,1974,"5,001 - 10,000",77.76,Graham Carr,Quebec,Montreal,Education
126,TD Bank Group,1855,"50,001 - 100,000",77.70,Bharat Masrani,Ontario,Toronto,Banking and Financial Services
127,Intel,1968,"100,001 - 500,000",77.62,Patrick Gelsinger,British Columbia,Vancouver,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
128,University of Toronto,1827,"10,001 - 50,000",77.40,Meric Gertler,Ontario,Toronto,Education
129,Fraser Health,2001,"10,001 - 50,000",77.30,Dr. Victoria Lee,British Columbia,Surrey,Healthcare & Social
130,Oak Valley Health,1958,"1,001 - 5,000",77.25,Jo-anne Marr,Ontario,Uxbridge,Healthcare & Social
131,Dell Canada,1979,"100,001 - 500,000",77.05,Michael Dell,Ontario,North York,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
132,Rogers Communications,1960,"10,001 - 50,000",77.01,Tony Staffieri,Ontario,Toronto,"Telecommunications Services, Cable Supplier"
133,Michaels Stores,1973,"10,001 - 50,000",76.92,Ashley Buchanan,Texas,Irving,Retail and Wholesale
134,CIUSSS de l'Estrie,2015,"10,001 - 50,000",76.81,Stéphane Tremblay,Quebec,Sherbrooke,Healthcare & Social
135,Shell,1911,"1,001 - 5,000",76.81,Ben van Beurden,Alberta,Calgary,"Construction, Oil & Gas Operations, Mining and Chemicals"
136,Home Depot,1994,"10,001 - 50,000",76.74,Michael Rowe,Ontario,Toronto,Retail and Wholesale
137,Thomson Reuters,1851,"1,001 - 5,000",76.69,Steve Hasker,Ontario,Toronto,Media & Advertising
138,Scotiabank,1832,"50,001 - 100,000",76.54,Brian J. Porter,Ontario,Toronto,Banking and Financial Services
139,CGI Group,1976,"50,001 - 100,000",76.49,George D. Schindler,Quebec,Montreal,Business Services & Supplies
140,Restaurant Brands International,2014,"5,001 - 10,000",76.45,Daniel Schwartz,Ontario,Toronto,Restaurants
141,Nestlé,1866,"1,001 - 5,000",76.21,Ulf Mark Schneider,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
142,Accenture,1989,"5,001 - 10,000",76.17,Jimmy Etheredge,Alberta,Calgary,"Professional Services (e.g. Consulting, Accounting)"
143,Indigo Books & Music,1996,"1,001 - 5,000",76.06,Heather Reisman,Ontario,Toronto,Retail and Wholesale
144,PwC,1849,"5,001 - 10,000",76.01,Nicolas Marcoux,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
145,Mount Royal University,1910,"1,001 - 5,000",75.91,Dawn Farrell,Alberta,Calgary,Education
146,General Electric,1892,"1,001 - 5,000",75.88,H. Lawrence Culp Jr.,Ontario,Mississauga,"Engineering, Manufacturing"
147,Federated Co-operatives,1944,"10,001 - 50,000",75.85,Scott Banda,Saskatchewan,Saskatoon,Retail and Wholesale
148,RBC,1864,"50,001 - 100,000",75.84,David McKay,Ontario,Toronto,Banking and Financial Services
149,Air Canada,1937,"10,001 - 50,000",75.80,Michael Rousseau,Quebec,Montreal,Transportation and Logistics
150,Manitoba Hydro,1961,"1,001 - 5,000",75.41,Jay Grewal,Manitoba,Winnipeg,Utilities
