rank,company,founded,employees,score,ceo,state,hq,industry
152,Sun Life Financial,1865,"1,001 - 5,000",8.40,Dean Connor,Ontario,Toronto,Banking and Financial Services
153,Regional Municipality of York,1971,"1,001 - 5,000",8.40,Wayne Emmerson,Ontario,York,Government Services
154,Grant Thornton Canada,1924,"1,001 - 5,000",8.40,Bradley Preber,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
155,Public Safety Canada,2003,"1,001 - 5,000",8.40,Bill Blair,Ontario,Ottawa,Government Services
156,Manitoba Hydro,1961,"1,001 - 5,000",8.39,Jay Grewal,Manitoba,Winnipeg,Utilities
157,TJX Companies,1956,"100,001 - 500,000",8.38,Ernie Herrman,Ontario,Mississauga,Retail and Wholesale
158,Hydro One,1999,"5,001 - 10,000",8.38,Mark Poweska,Ontario,Toronto,Utilities
159,Halifax Regional Municipality,1749,"1,001 - 5,000",8.38,Peter Kelly,Nova Scotia,Halifax,Government Services
160,Avis Budget Group,1946,"10,001 - 50,000",8.38,Joseph A. Ferraro,Alberta,Grande Prairie,Travel & Leisure
161,Subway,1965,"501 - 1,000",8.38,Guy Laframboise,Connecticut,Milford,Restaurants
162,Unity Health Toronto,1892,"5,001 - 10,000",8.38,Tim Rutledge,Ontario,Toronto,Healthcare & Social
163,Export Development Canada,1944,"1,001 - 5,000",8.38,Mairead Lavery,Ontario,Ottawa,Government Services
164,Thales,1893,"1,001 - 5,000",8.37,Patrice Caine,Ontario,Toronto,Aerospace & Defense
165,Agriculture and Agri-Food Canada,1868,"5,001 - 10,000",8.37,Marie-Claude Bibeau,Ontario,Ottawa,Government Services
166,Ontario Power Generation,1999,"5,001 - 10,000",8.36,Ken Hartwick,Ontario,Toronto,Utilities
167,PepsiCo,2006,"10,001 - 50,000",8.36,Ramon Laguarta,Ontario,Mississauga,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
168,IWK Health Care,1909,"501 - 1,000",8.35,Krista Jangaard,Nova Scotia,Halifax,Healthcare & Social
169,Keurig Canada,1981,"1,001 - 5,000",8.35,Robert Gamgort,Massachusetts,Burlington,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
170,Canada Cartage,1914,"1,001 - 5,000",8.35,Jeff Lindsay,Ontario,Mississauga,Transportation and Logistics
171,Hallmark Cards,1910,"10,001 - 50,000",8.34,"Donald J. Hall, Jr.",Ontario,Toronto,Packaged Goods
172,TD Bank Group,1855,"50,001 - 100,000",8.34,Bharat Masrani,Ontario,Toronto,Banking and Financial Services
173,Home Hardware,1964,"501 - 1,000",8.34,Kevin Macnab,Ontario,St Jacobs,Retail and Wholesale
174,Gowling WLG (Canada) LLP,1887,"501 - 1,000",8.34,Peter J. Lukasiewicz,Ontario,Ottawa,"Professional Services (e.g. Consulting, Accounting)"
175,Transport Canada,1935,"5,001 - 10,000",8.34,Marc Garneau,Ontario,Ottawa,Government Services
176,Shoppers Drug Mart,1962,>500,8.33,Jeff Leger,Ontario,Toronto,Retail and Wholesale
177,Siemens,1847,"1,001 - 5,000",8.33,Joe Kaeser,Ontario,Oakville,"Engineering, Manufacturing"
178,InterContinental Hotels Group,1994,"100,001 - 500,000",8.33,Keith Barr,Ontario,Toronto,Travel & Leisure
179,Weston Foods,1882,"1,001 - 5,000",8.33,Luc Mongeau,Ontario,Etobicoke,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
180,Deloitte,1845,"10,001 - 50,000",8.32,Punit Renjen,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
181,The Source,1986,>500,8.32,Andy Wright,Ontario,Toronto,Retail and Wholesale
182,Electronic Arts,1982,"1,001 - 5,000",8.31,Andrew Wilson,British Columbia,Burnaby,Media & Advertising
183,Tangerine,1997,"501 - 1,000",8.30,Gillian Riley,Ontario,Toronto,Banking and Financial Services
184,Sunnybrook Health Sciences Centre,1943,"5,001 - 10,000",8.30,Andy Smith,Ontario,Toronto,Healthcare & Social
185,CROSSMARK,1905,"10,001 - 50,000",8.30,Chris Moye,Ontario,Mississauga,Packaged Goods
186,Schneider Electric,1836,"1,001 - 5,000",8.29,Jean-Pascal Tricoire,Ontario,Mississauga,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
187,Canadian National Railway Company (CN),1832,"10,001 - 50,000",8.28,Jean-Jacques Ruest,Quebec,Montreal,Transportation and Logistics
188,Thomson Reuters,1851,"1,001 - 5,000",8.27,Steve Hasker,Ontario,Toronto,Media & Advertising
189,Saskatchewan Health Authority,2017,"10,001 - 50,000",8.27,Scott Livingstone,Saskatchewan,Saskatoon,Healthcare & Social
190,Molson Coors Brewing,1959,"1,001 - 5,000",8.26,Gavin Hattersley,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
191,LifeLabs,1958,"5,001 - 10,000",8.26,Charles Brown,Ontario,Toronto,Health Care Equipment & Services
192,VON Canada,1897,"5,001 - 10,000",8.26,Jo-Anne Poirier,Ontario,Ottawa,Healthcare & Social
193,KPMG Canada,1987,"5,001 - 10,000",8.25,Elio Luongo,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
194,Fraser Health,2001,"10,001 - 50,000",8.25,Dr. Victoria Lee,British Columbia,Surrey,Healthcare & Social
195,McCain Foods,1957,"10,001 - 50,000",8.24,Max Koeune,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
196,Cactus Club Café,1988,"1,001 - 5,000",8.23,Richard Jaffray,British Columbia,Vancouver,Restaurants
197,Nestlé,1866,"1,001 - 5,000",8.23,Ulf Mark Schneider,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
198,MAC Cosmetics,1984,"10,001 - 50,000",8.23,John Demsey,Ontario,Toronto,Packaged Goods
199,SaskTel,1908,"1,001 - 5,000",8.23,Doug Burnett,Saskatchewan,Regina,"Telecommunications Services, Cable Supplier"
200,Ford Motor,1904,"10,001 - 50,000",8.23,Jim Farley,Ontario,Oakville,Automotive (Automotive and Suppliers)
201,Home Depot,1994,"10,001 - 50,000",8.22,Michael Rowe,Ontario,Toronto,Retail and Wholesale
202,3M,1902,"1,001 - 5,000",8.22,Michael F. Roman,Minnesota,Saint Paul,Packaged Goods
203,Johnson & Johnson,1886,"100,001 - 500,000",8.22,Alex Gorsky,Ontario,Guelph,Packaged Goods
204,Vancouver Coastal Health Authority,2001,"10,001 - 50,000",8.22,Vivian Eliopoulos,British Columbia,Vancouver,Healthcare & Social
205,PricewaterhouseCoopers (PWC),1849,"5,001 - 10,000",8.22,Nicolas Marcoux,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
206,Ledcor Group,1947,"1,001 - 5,000",8.21,Dave Lede,British Columbia,Vancouver,"Construction, Oil & Gas Operations, Mining and Chemicals"
207,National Bank of Canada,1859,"10,001 - 50,000",8.21,Louis Vachon,Quebec,Montreal,Banking and Financial Services
208,Guelph General Hospital,1875,"1,001 - 5,000",8.20,Marianne Walker,Ontario,Guelph,Healthcare & Social
209,Jewish General Hospital,1934,"1,001 - 5,000",8.19,Lawrence Rosenberg,Quebec,Montreal,Healthcare & Social
210,Bruce Power,1960,"1,001 - 5,000",8.19,Mike Rencheck,Ontario,Tiverton,Utilities
211,PPG,1883,"10,001 - 50,000",8.19,Michael H. McGarry,Ontario,Concord,"Construction, Oil & Gas Operations, Mining and Chemicals"
212,PetSmart,1986,"10,001 - 50,000",8.19,J.K. Symancyk,Ontario,Burlington,Retail and Wholesale
213,Stantec,1954,"5,001 - 10,000",8.19,Gord Johnston,Alberta,Edmonton,"Professional Services (e.g. Consulting, Accounting)"
214,Alberta Blue Cross,1948,"1,001 - 5,000",8.18,Mark Komlenic,Alberta,Edmonton,Insurances
215,Aviva,2003,"1,001 - 5,000",8.18,Amanda Blanc,Ontario,Markham,Insurances
216,Lassonde,1918,"1,001 - 5,000",8.17,Nathalie Lassonde,Quebec,Rougemont,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
217,Ernst & Young (EY) Canada,1989,"5,001 - 10,000",8.17,Carmine Di Sibio,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
218,Samsung Electronics,1969,"501 - 1,000",8.17,Jeff Jo,Ontario,Mississauga,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
219,Toyota Motor Manufacturing Canada,1986,"5,001 - 10,000",8.16,Akio Toyoda,Ontario,Cambridge,Automotive (Automotive and Suppliers)
220,Hatch,1955,"1,001 - 5,000",8.16,John Bianchini,Ontario,Mississauga,"Professional Services (e.g. Consulting, Accounting)"
221,Air Canada,1937,"10,001 - 50,000",8.16,Michael Rousseau,Quebec,Montreal,Transportation and Logistics
222,General Motors,1908,"5,001 - 10,000",8.15,Mary T. Barra,Ontario,Oshawa,Automotive (Automotive and Suppliers)
223,Lululemon Athletica,1998,"5,001 - 10,000",8.15,Calvin McDonald,British Columbia,Vancouver,Clothing  (Manufacturing and Retail)
224,Fujitsu,1935,"100,001 - 500,000",8.14,Rod Vawdrey,California,San Jose,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
225,Providence Health Care,1859,"1,001 - 5,000",8.14,Fiona  Dalton,British Columbia,Vancouver,Healthcare & Social
226,Fidelity Investments,1946,"1,001 - 5,000",8.13,Rob Strickland,Ontario,Toronto,Banking and Financial Services
227,RE/MAX INTEGRA,1973,"10,001 - 50,000",8.13,Adam Contos,Ontario,Mississauga,Business Services & Supplies
228,University Health Network,1986,"10,001 - 50,000",8.13,Dr. Kevin Smith,Ontario,Toronto,Healthcare & Social
229,Nova Scotia Health Authority,2015,"10,001 - 50,000",8.12,Brendan Carr,Nova Scotia,Halifax,Healthcare & Social
230,ArcelorMittal Dofasco,1912,"1,001 - 5,000",8.12,Sean Donnelly,Ontario,Hamilton,"Engineering, Manufacturing"
231,Hilton,1919,"501 - 1,000",8.12,Christopher J. Nassetta,Ontario,Mississauga,Travel & Leisure
232,Centre hospitalier universitaire de Sherbrooke (CHUS),1969,"10,001 - 50,000",8.11,Patricia Gauthier,Quebec,Sherbrooke,Healthcare & Social
233,Syncrude,1964,"1,001 - 5,000",8.11,Doreen Cole,Alberta,Calgary,"Construction, Oil & Gas Operations, Mining and Chemicals"
234,Stikeman Elliott,1952,>500,8.10,Marc Barbeau,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
235,Scotiabank,1832,"50,001 - 100,000",8.10,Brian J. Porter,Ontario,Toronto,Banking and Financial Services
236,Pfizer,1849,"1,001 - 5,000",8.09,Albert Bourla,Quebec,Kirkland,Drugs & Biotechnology
237,Canadian Pacific Railway (CP),1881,"10,001 - 50,000",8.09,Keith Creel,Alberta,Calgary,Transportation and Logistics
238,Telus,1990,"10,001 - 50,000",8.09,Darren Entwistle,British Columbia,Vancouver,"Telecommunications Services, Cable Supplier"
