rank,company,founded,employees,score,ceo,state,hq,industry
105,Department of Labor and Employment (DOLE),1987,"5,001 - 10,000",8.47,Patrick Patriwirawan Jr.,Metropolitan Manila,"Metropolitan Manila, Manila",Government Services
106,Shangri-La,1971,>250,8.47,Kuok Hui Kwong,Metropolitan Manila,"Metropolitan Manila, Taguig City",Travel & Leisure
107,IBM Business Services,1920,">10,000",8.46,Luisito Pineda,Metropolitan Manila,"Metropolitan Manila, Quezon City",Business Services & Supplies
108,Knowles Electronics,1946,>250,8.46,Jeffrey S. Niew,Central Visayas,"Cebu, Lapu-Lapu City","Engineering, Manufacturing"
109,SM Retail,1950,"1,001 - 5,000",8.45,Frederic C. DyBuncio,Metropolitan Manila,"Metropolitan Manila, Pasay City",Retail and Wholesale
110,Acquire Asia Pacific,2005,251 - 500,8.44,Dana Andel,Metropolitan Manila,"Metropolitan Manila, Pasig City",Business Services & Supplies
111,Unison Computer Systems,1986,251 - 500,8.44,Willy Sy,Metropolitan Manila,"Metropolitan Manila, Pasig City","IT, Internet, Software & Services"
112,Center For Agriculture & Rural Development (CARD),1986,"5,001 - 10,000",8.43,Mr. Jaime Aristotle B. Alip,Metropolitan Manila,"Metropolitan Manila, Quezon City",Economy & Politics & NGO
113,Wilcon Depot,1977,"1,001 - 5,000",8.43,William Belo,Metropolitan Manila,"Metropolitan Manila, Quezon City",Retail and Wholesale
114,IHG Philippines,2003,"1,001 - 5,000",8.43,Elie Maalouf,Metropolitan Manila,Makati City and Baguio City,Travel & Leisure
115,Department of Agriculture (DA),1898,>250,8.43,"Ferdinand “Bongbong” Romualdez Marcos, Jr.",Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
116,Meralco Industrial Engineering Services,1973,>250,8.43,Richard O. Ochava,Metropolitan Manila,"Metropolitan Manila, Pasig City","Construction, Oil & Gas Operations, Mining and Chemicals"
117,Lexmark Research & Development,1991,>250,8.42,Allen Waugerman,Central Visayas,"Cebu, Cebu City","IT, Internet, Software & Services"
118,Lyceum Of The Philippines University,1966,>250,8.41,Atty. Roberto P. Laurel,Metropolitan Manila,"Metropolitan Manila, Makati City",Education
119,Bank Of The Philippine Island,1851,">10,000",8.40,Jose Teodoro K. Limcaoco,Metropolitan Manila,"Metropolitan Manila, Makati City",Banking and Financial Services
120,Microsoft,1995,">10,000",8.40,Peter Maquera,Metropolitan Manila,"Metropolitan Manila, Makati City","IT, Internet, Software & Services"
121,University of Southeastern Philippines,1978,"501 - 1,000",8.40,Lourdes C. Generalao,Davao Region,"Davao del Sur, Davao City",Education
122,Robinsons Appliances,1980,>250,8.39,Robina Y. Gokongwei-Pe,Metropolitan Manila,"Metropolitan Manila, Makati City",Retail and Wholesale
123,National Irrigation Administration,1963,>250,8.38,"Atty. Allan Paul Sarangaya, J.D",Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
124,DHL Supply Chain,1971,"501 - 1,000",8.38,Bevan Williams,Metropolitan Manila,"Metropolitan Manila, Paranaque City",Transportation and Logistics
125,Department of Budget and Management (DBM),1936,"501 - 1,000",8.38,Amenah F. Pangandaman,Metropolitan Manila,"Metropolitan Manila, Manila",Government Services
126,Seaoil,1997,>250,8.38,Francis Glenn L. Yu,Metropolitan Manila,"Metropolitan Manila, Pasig City","Construction, Oil & Gas Operations, Mining and Chemicals"
127,EEI,1931,>250,8.38,Henry D. Antonio,Metropolitan Manila,"Metropolitan Manila, Quezon City","Construction, Oil & Gas Operations, Mining and Chemicals"
128,Fujitsu,1975,>250,8.38,Raul Santiago,Metropolitan Manila,"Metropolitan Manila, Makati City","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
129,CDO Foodsphere,1975,"1,001 - 5,000",8.38,Jerome Ong,Metropolitan Manila,"Metropolitan Manila, Valenzuela City","Food, Soft Beverages, Alcohol & Tobacco"
130,Department of National Defense (DND),1939,>250,8.37,"Atty.  Gilberto C. Teodoro, Jr.",Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
131,Polytechnic University Of The Philippines,1952,"1,001 - 5,000",8.36,Manuel M. Muhi,Metropolitan Manila,"Metropolitan Manila, Manila",Education
132,Bounty Fresh Food,1986,>250,8.36,Tennyson G. Chen,Metropolitan Manila,"Metropolitan Manila, Taguig City","Food, Soft Beverages, Alcohol & Tobacco"
133,Our Lady Of Fatima University,1973,>250,8.35,Dr. Caroline S. Enriquez,Metropolitan Manila,"Metropolitan Manila, Valenzuela City",Education
134,Oracle,1990,"1,001 - 5,000",8.35,Safra Catz,Metropolitan Manila,"Metropolitan Manila, Makati City","IT, Internet, Software & Services"
135,Ingram Micro,2009,"1,001 - 5,000",8.34,Paul Bay,Metropolitan Manila,"Metropolitan Manila, Taguig City",Business Services & Supplies
136,Makati Medical Center,1969,"1,001 - 5,000",8.34,Atty. Pilar Nenuca P. Almira,Metropolitan Manila,"Metropolitan Manila, Makati City",Healthcare & Social
137,Quantrics Enterprises,2016,>250,8.34,Alexia Hamel,Calabarzon,"Rizal, Taytay","IT, Internet, Software & Services"
138,Integrated Computer Systems,1978,251 - 500,8.33,Peter Winston,Metropolitan Manila,"Metropolitan Manila, San Juan City","IT, Internet, Software & Services"
139,Megaworld,1989,"1,001 - 5,000",8.32,Dr. Andrew L. Tan,Metropolitan Manila,"Metropolitan Manila, Taguig City",Real Estate
140,Mbuilders Trading,0,>250,8.32,null,Metropolitan Manila,"Metropolitan Manila, Valenzuela City",Business Services & Supplies
141,HSBC,1875,"1,001 - 5,000",8.32,Sandeep Uppal,Metropolitan Manila,"Metropolitan Manila, Makati City",Banking and Financial Services
142,Century Pacific Foods,1978,"501 - 1,000",8.32,Teodoro Alexander Po,Metropolitan Manila,"Metropolitan Manila, Pasig City","Food, Soft Beverages, Alcohol & Tobacco"
143,Kentucky Fried Chicken (KFC),1967,"501 - 1,000",8.31,Bertie Sanger,Metropolitan Manila,"Metropolitan Manila, Quezon City",Restaurants
144,Watsons Personal Care Stores,2002,>250,8.31,Malina Ngai,Metropolitan Manila,"Metropolitan Manila, Pasay City",Retail and Wholesale
145,Aboitiz Construction,1975,"5,001 - 10,000",8.31,Sabin M. Aboitiz,Central Visayas,"Cebu, Cebu City","Construction, Oil & Gas Operations, Mining and Chemicals"
146,Acabar Marketing International,1996,>250,8.31,Ghulam Afzaal,Metropolitan Manila,"Metropolitan Manila, Makati City",Professional Services
147,McDonald's,1981,">10,000",8.31,Kenneth Yang,Metropolitan Manila,"Metropolitan Manila, Makati City",Restaurants
148,Commission on Higher Education (CHED),1994,"501 - 1,000",8.30,Prospero de Vera III,Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
149,Civil Aviation Authority,2008,"5,001 - 10,000",8.30,Captain Manuel Antonio Tamayo,Metropolitan Manila,"Metropolitan Manila, Pasay City",Government Services
150,Solaire Resort & Casino,2013,"1,001 - 5,000",8.29,Enrique K. Razon Jr.,Metropolitan Manila,"Metropolitan Manila, Paranaque City",Travel & Leisure
151,International Wiring Systems,1917,251 - 500,8.29,Kenichi Urushibata,Central Luzon,"San Miguel, Tarlac City","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
152,Technological Institute Of The Philippines,1962,"501 - 1,000",8.29,Dr. Elizabeth Quirino-Lahoz,Metropolitan Manila,"Metropolitan Manila, Quezon City",Education
153,Home Credit,2013,"1,001 - 5,000",8.29,David Minol,Metropolitan Manila,"Metropolitan Manila, Taguig City",Banking and Financial Services
154,Acbel Polytech,1981,>250,8.28,Jerry Hsu,Taipei,"Taipei, Taiwan","Telecommunications Services, Cable Supplier"
155,Denso,1995,"1,001 - 5,000",8.27,Yuji Torii,Calabarzon,"Laguna, Calamba City","Engineering, Manufacturing"
156,Aboitiz Power,1998,">10,000",8.27,Emmanuel V. Rubio,Metropolitan Manila,"Metropolitan Manila, Taguig City",Utilities
157,Conduent Business Services,2017,>250,8.27,Cliff Skelton,New Jersey,"Florham Park, NJ, USA",Business Services & Supplies
158,Okada Manila,2007,>250,8.27,Kazuo Okada,Metropolitan Manila,"Metropolitan Manila, Paranaque City",Travel & Leisure
159,Atos Information Technology,1997,>250,8.26,Jennire Torres,Metropolitan Manila,"Metropolitan Manila, Quezon City",Business Services & Supplies
160,PAG IBIG Fund,1978,"5,001 - 10,000",8.26,Marilene C. Acosta,Metropolitan Manila,"Metropolitan Manila, Makati City",Government Services
161,Satellite Office Solutions,1997,"1,001 - 5,000",8.26,Michael McRitchie,Metropolitan Manila,"Metrapolitan Manila, Taguig City",Business Services & Supplies
162,FedEx,1984,"501 - 1,000",8.26,Maribeth Espinosa,Metropolitan Manila,"Metropolitan Manila, Pasay City",Transportation and Logistics
163,Palawan Pawnshop Group,1985,>250,8.26,Bobby Castro,Mimaropa,"Palawan, Puerto Princesa City",Banking and Financial Services
164,NTT DATA Philippines,1988,"1,001 - 5,000",8.25,Hironari Tomioka,Metropolitan Manila,"Metropolitan Manila, Makati City","Telecommunications Services, Cable Supplier"
165,Philippine National Bank (PNB),1916,"1,001 - 5,000",8.25,Florido P. Casuela,Metropolitan Manila,"Metropolitan Manila, Pasay City",Banking and Financial Services
166,Infor,2002,>250,8.25,Kevin Samuelson,Metropolitan Manila,"Metropolitan Manila, Taguig City","IT, Internet, Software & Services"
167,KPMG,2008,"1,001 - 5,000",8.25,Sharon G. Dayoan,Metropolitan Manila,"Metropolitan Manila, Makati City",Professional Services
168,The Philippine Banking (Bangko Sentral ng Pilipinas),1993,>250,8.24,"Eli M. Remolona, Jr.",Metropolitan Manila,"Metropolitan Manila, Manila",Banking and Financial Services
169,Robinsons Land,1980,"1,001 - 5,000",8.24,Frederick Go,Metropolitan Manila,"Metropolitan Manila, Quezon City",Real Estate
170,Department of Education (DEPED),2001,">10,000",8.24,Sara Z. Duterte,Metropolitan Manila,"Metropolitan Manila, Pasig City",Government Services
171,Ninja Van,2014,"1,001 - 5,000",8.23,"Lai Chang Wen CEO, Martin Cu Country Head PH",Metropolitan Manila,"Metropolitan Manila, Makati City",Transportation and Logistics
172,CNX,1983,">10,000",8.23,Chris Caldwell,Metropolitan Manila,"Metropolitan Manila, Quezon City",Business Services & Supplies
173,Globe Telecom,1935,"5,001 - 10,000",8.23,Ernest L. Cu,Metropolitan Manila,"Metropolitan Manila, Taguig City","Telecommunications Services, Cable Supplier"
174,Awesome CX,2006,>250,8.22,Eric Gist,Davao Region,"Davao del Sur, Davao City",Business Services & Supplies
175,Canon Information Technologies,1937,>250,8.22,Fujio Mitarai,Metropolitan Manila,"Metropolitan Manila, Quezon City","IT, Internet, Software & Services"
